Ebay ID,Description,Sold_Date,Sold_Price
132627143003,Sleeve Case Hand Bag For 10 11 13 15 ipad MacBook Pro Retina Air Laptop Notebook,2018-06-17 03:52AM,$9.99
163101201182,macbook pro 2017 13 inch touch bar,2018-06-17 01:42AM,"$1,000.00"
172890104570,UNCOMMON DEFLECTOR (BLUE) CASE FOR 13-INCH MACBOOK PRO (2010 to 2013) - C0101-DE,2018-06-16 08:50PM,$9.99
253628893318,Lacdo 13-13.3 Inch Waterproof Laptop Sleeve Case for Apple MacBook Pro 13.3-inch,2018-06-16 07:48PM,$15.26
173323022603,USB Type C to Gigabit Ethernet & USB3.0 Hub Adapter for 13 inch Macbook Pro & 15,2018-06-16 07:16PM,$12.50
162859732845,Mosiso 2017 / 2016 Macbook Pro 13 Inch Sleeve (A1706/A1708) / Microsoft New Surf,2018-06-16 05:40PM,$19.73
322463561899,Incipio Honu Sleeve for 13 Inch MacBook Pro  or Surface Pro 3 - Gray (IM-339) ,2018-06-16 05:26PM,$10.99
302741647048,"Batman Vinyl Decal Stick for Apple MacBook, Pro & Air 11, 12, 13, 15 inch",2018-06-16 02:48PM,$7.50
152841878629,"Keyboard Cover for Macbook Pro 13 Inch, 15 Inch, Macbook Air 13 Inch, Rainbow II",2018-06-16 01:52PM,$9.23
263216794432,Hard Case Shell Apple MacBook Pro 13 Inch 2017 2017 A1706 A1708 Keyboard Cover,2018-06-16 10:04AM,$23.97
263216774255,Hard Case Shell Apple MacBook Pro 13 Inch 2017 2017 A1706 A1708 Keyboard Cover,2018-06-16 09:48AM,$24.97
253135080679,"Gold Rubberized Hard Case Matte Shell Protector MacBook Pro 13.3"" A1278 13 inch",2018-06-16 09:12AM,$12.99
252047269924,"Clear Case Hard Earphone Vinyl Sticker Decal Cover Macbook Pro Retina 11/13/15""",2018-06-16 08:06AM,$10.49
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$2.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$2.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$3.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$3.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$2.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$6.69
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$4.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$3.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$3.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$3.96
231926477431,"Marble Matt Hard Case Shell Keyboard Cover for Macbook Pro 13/15"" Air 11/13""inch",2018-06-16 07:08AM,$6.69
